"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","SDQGeschlecht","SDQLand","SDQLand[other]","SDQJahr","SDQPartner","BEQ01[SQ01]","BEQ01[SQ02]","BEQ01[SQ03]","BEQ01[SQ04]","BEQ01[SQ05]","BEQ01[SQ06]","BEQ01[SQ07]","ZGQ01[SQ01]","ZGQ01[SQ02]","ZGQ01[SQ03]","ZGQ01[SQ04]","ZGQ01[SQ05]","ZGQ01[SQ06]","ZGQ01[SQ07]","NGQ01[SQ01]","NGQ01[SQ02]","NGQ01[SQ03]","NGQ01[SQ04]","NGQ01[SQ05]","NGQ01[SQ06]","NGQ01[SQ07]","NGQ01[SQ08]","NGQ01[SQ09]","NGQ01[SQ10]","NGQ01[SQ11]","NGQ01[SQ12]","NGQ01[SQ13]","NGQ01[SQ14]","NGQ01[SQ15]","NGQ01[SQ16]","NGQ01[SQ17]","NGQ01[SQ18]","NGQ01[SQ19]","NGQ01[SQ20]","NGQ01[SQ21]","NGQ01[SQ22]","NGQ01[SQ23]","NGQ01[SQ24]"
"34",,"1","de","747373475","2025-11-24 18:29:33","2025-11-24 18:29:47","M","AT","","2003","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","2025-11-24 18:57:29","4","de","409428364","2025-11-24 18:29:37","2025-11-24 18:57:29","M","D","","2002","N","4","4","3","4","4","4","3","5","5","5","4","4","5","4","4","4","4","4","5","4","5","5","4","4","5","5","4","3","4","4","4","4","3","3","3","4","2","2"
"36",,"1","de","153700683","2025-11-24 18:29:43","2025-11-24 18:30:27","M","-oth-","Uzbek","2021","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37",,"1","de","634233073","2025-11-24 18:29:53","2025-11-24 18:30:04","M","D","","2005","N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38","2025-11-24 18:35:05","4","de","226191551","2025-11-24 18:30:04","2025-11-24 18:35:05","D","-oth-","Atlan","753","Y","5","5","5","5","1","4","4","2","2","2","3","2","3","2","4","5","4","4","4","4","2","4","1","2","2","2","5","5","4","5","3","4","5","2","5","5","5","5"
"39","2025-11-24 18:38:55","4","de","1399839203","2025-11-24 18:31:48","2025-11-24 18:38:55","M","D","","1996","Y","1","2","1","3","2","2","4","1","3","2","2","3","2","2","2","2","3","2","1","1","2","3","4","4","5","3","1","1","1","1","2","3","3","2","2","1","1","2"
"40","2025-11-24 18:41:20","4","de","1149513115","2025-11-24 18:36:57","2025-11-24 18:41:20","M","AT","","2004","N","2","3","1","2","2","2","2","2","2","1","1","3","4","1","2","2","3","2","1","1","1","2","4","4","3","4","3","2","2","2","3","1","3","2","2","2","3","2"
"41","2025-11-24 19:13:52","4","de","192192777","2025-11-24 19:07:56","2025-11-24 19:13:52","M","AT","","2004","N","3","2","2","3","4","3","4","2","2","4","3","4","3","1","3","3","2","2","4","4","3","5","2","3","2","4","5","4","3","4","4","4","4","5","4","4","5","3"
"42","2025-11-24 21:40:08","4","de","1089526409","2025-11-24 21:35:37","2025-11-24 21:40:08","M","AT","","2003","N","1","2","2","1","3","2","3","2","5","5","5","5","5","1","1","1","1","1","1","1","1","1","4","5","5","4","1","1","1","1","2","1","1","4","1","2","1","1"
"43","2025-11-25 12:22:34","4","de","311440918","2025-11-25 12:16:35","2025-11-25 12:22:34","M","AT","","2004","N","2","3","1","2","1","2","2","2","1","1","1","1","2","1","2","4","2","2","5","4","4","5","3","3","2","4","1","4","2","2","1","2","1","2","4","5","2","4"
