"id";"submitdate";"lastpage";"startlanguage";"seed";"startdate";"datestamp";"SDQ01";"SDQ02";"SDQ02[other]";"SDQ03";"SDQ04";"BEQ01[SQ01]";"BEQ01[SQ02]";"BEQ01[SQ03]";"BEQ01[SQ04]";"BEQ01[SQ05]";"BEQ01[SQ06]";"BEQ01[SQ07]";"ZGQ01[SQ01]";"ZGQ01[SQ02]";"ZGQ01[SQ03]";"ZGQ01[SQ04]";"ZGQ01[SQ05]";"ZGQ01[SQ06]";"ZGQ01[SQ07]";"NGQ01[SQ01]";"NGQ01[SQ02]";"NGQ01[SQ03]";"NGQ01[SQ04]";"NGQ01[SQ05]";"NGQ01[SQ06]";"NGQ01[SQ07]";"NGQ01[SQ08]";"NGQ01[SQ09]";"NGQ01[SQ10]";"NGQ01[SQ11]";"NGQ01[SQ12]";"NGQ01[SQ13]";"NGQ01[SQ14]";"NGQ01[SQ15]";"NGQ01[SQ16]";"NGQ01[SQ17]";"NGQ01[SQ18]";"NGQ01[SQ19]";"NGQ01[SQ20]";"NGQ01[SQ21]";"NGQ01[SQ22]";"NGQ01[SQ23]";"NGQ01[SQ24]"
"4";;;"de";"1662922956";"2024-11-11 14:33:41";"2024-11-11 14:33:41";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"5";"2024-11-11 15:12:17";"4";"de";"565018704";"2024-11-11 15:08:38";"2024-11-11 15:12:17";"W";"AT";"";"2003";"N";"1";"1";"1";"3";"3";"2";"3";"1";"1";"1";"1";"1";"2";"2";"2";"2";"1";"1";"2";"2";"2";"2";"4";"2";"2";"2";"1";"2";"2";"3";"3";"4";"3";"4";"4";"4";"2";"3"
"6";"2024-11-11 15:38:34";"4";"de";"79300398";"2024-11-11 15:31:52";"2024-11-11 15:38:34";"M";"-oth-";"Niede";"2004";"N";"3";"3";"2";"2";"3";"2";"4";"1";"1";"1";"1";"1";"1";"1";"2";"3";"2";"2";"2";"3";"2";"2";"3";"3";"4";"3";"2";"2";"3";"2";"3";"2";"3";"2";"3";"2";"3";"3"
"7";"2024-11-11 17:11:15";"4";"de";"1542003606";"2024-11-11 17:05:14";"2024-11-11 17:11:15";"W";"-oth-";"";"1999";"N";"2";"3";"2";"3";"2";"2";"2";"1";"2";"2";"3";"2";"2";"2";"2";"3";"2";"2";"2";"2";"2";"3";"3";"3";"3";"2";"2";"3";"2";"3";"2";"4";"2";"3";"3";"4";"2";"2"
"8";"2024-11-11 18:59:37";"4";"de";"1577932235";"2024-11-11 18:49:18";"2024-11-11 18:59:37";"M";"D";"";"1999";"N";"2";"2";"1";"4";"1";"2";"2";"1";"1";"1";"1";"1";"2";"1";"1";"2";"1";"1";"3";"1";"3";"3";"3";"4";"2";"2";"3";"3";"1";"2";"4";"4";"4";"3";"3";"5";"3";"3"
"9";"2024-11-11 19:08:00";"4";"de";"1731482461";"2024-11-11 19:04:33";"2024-11-11 19:08:00";"M";"AT";"";"2002";"N";"3";"2";"3";"2";"3";"2";"2";"2";"1";"2";"2";"3";"2";"1";"2";"3";"2";"3";"2";"2";"2";"3";"4";"4";"4";"4";"3";"3";"4";"3";"2";"2";"3";"3";"5";"3";"4";"4"
"10";"2024-11-11 19:25:43";"4";"de";"780299796";"2024-11-11 19:22:12";"2024-11-11 19:25:43";"W";"-oth-";"Schwe";"2002";"N";"1";"3";"1";"1";"1";"2";"2";"1";"1";"1";"2";"1";"2";"1";"2";"2";"1";"1";"2";"2";"3";"2";"4";"2";"2";"3";"2";"2";"2";"2";"2";"2";"3";"3";"3";"2";"4";"3"
"11";"2024-11-12 11:31:05";"4";"de";"1755617036";"2024-11-12 11:26:52";"2024-11-12 11:31:05";"M";"AT";"";"1997";"N";"1";"2";"2";"2";"3";"3";"2";"1";"2";"2";"2";"2";"2";"1";"2";"3";"1";"1";"3";"2";"2";"4";"3";"4";"2";"4";"2";"3";"2";"2";"2";"3";"2";"3";"3";"3";"3";"4"
"12";"2024-11-12 14:09:41";"4";"de";"1034988533";"2024-11-12 14:03:14";"2024-11-12 14:09:41";"M";"AT";"";"2000";"N";"2";"2";"1";"2";"4";"3";"1";"2";"2";"2";"4";"2";"3";"2";"1";"2";"2";"2";"2";"3";"2";"2";"3";"4";"2";"5";"2";"3";"3";"2";"1";"2";"2";"3";"2";"3";"3";"3"
"13";"2024-11-12 15:09:15";"4";"de";"1057231701";"2024-11-12 14:32:27";"2024-11-12 15:09:15";"M";"AT";"";"1999";"N";"1";"3";"1";"1";"1";"1";"3";"2";"2";"2";"2";"2";"3";"2";"1";"2";"2";"1";"1";"3";"2";"3";"2";"2";"2";"4";"2";"4";"1";"1";"2";"2";"2";"2";"3";"3";"1";"2"
